Iterations,Avg_StackingTime, Manpower, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,,
237.00 ,145.58 ,317.00 ,133.00 ,28.68 ,65.83 ,51.07 ,0.77 ,
238.00 ,119.71 ,317.00 ,133.00 ,28.34 ,66.64 ,24.73 ,0.17 ,
239.00 ,113.46 ,317.00 ,134.00 ,28.36 ,60.60 ,24.50 ,0.25 ,
240.00 ,101.32 ,318.00 ,134.00 ,28.76 ,52.19 ,20.36 ,0.56 ,
241.00 ,100.89 ,316.00 ,134.00 ,28.74 ,46.54 ,25.62 ,0.32 ,
242.00 ,112.10 ,316.00 ,133.00 ,29.44 ,59.04 ,23.62 ,0.94 ,
243.00 ,111.18 ,317.00 ,133.00 ,29.45 ,58.66 ,23.07 ,0.27 ,
244.00 ,119.41 ,316.00 ,133.00 ,28.74 ,70.34 ,20.34 ,0.71 ,
245.00 ,149.05 ,315.00 ,133.00 ,28.71 ,71.08 ,49.26 ,0.39 ,
246.00 ,111.67 ,314.00 ,133.00 ,28.74 ,63.94 ,18.98 ,0.73 ,
247.00 ,121.20 ,314.00 ,133.00 ,28.74 ,71.11 ,21.35 ,0.31 ,
248.00 ,102.02 ,313.00 ,134.00 ,28.73 ,50.80 ,22.49 ,0.43 ,
249.00 ,122.49 ,313.00 ,133.00 ,29.43 ,71.09 ,21.97 ,0.28 ,
250.00 ,113.65 ,313.00 ,134.00 ,28.70 ,65.68 ,19.27 ,0.33 ,
251.00 ,156.85 ,314.00 ,134.00 ,29.38 ,72.83 ,54.63 ,0.26 ,
252.00 ,108.99 ,313.00 ,135.00 ,28.72 ,60.40 ,19.87 ,0.67 ,
253.00 ,155.35 ,312.00 ,134.00 ,28.66 ,71.75 ,54.94 ,0.61 ,
254.00 ,143.13 ,314.00 ,134.00 ,28.66 ,49.73 ,64.74 ,0.49 ,
255.00 ,113.49 ,312.00 ,134.00 ,29.43 ,60.94 ,23.13 ,0.67 ,
256.00 ,116.21 ,307.00 ,133.00 ,29.54 ,65.49 ,21.18 ,0.78 ,
257.00 ,109.12 ,307.00 ,134.00 ,29.51 ,55.99 ,23.62 ,0.28 ,
258.00 ,130.95 ,305.00 ,133.00 ,29.56 ,70.82 ,30.58 ,0.68 ,
259.00 ,113.82 ,307.00 ,133.00 ,29.53 ,61.80 ,22.49 ,0.13 ,
260.00 ,114.97 ,306.00 ,134.00 ,29.54 ,56.89 ,28.54 ,0.33 ,
261.00 ,122.89 ,306.00 ,135.00 ,29.58 ,73.33 ,19.98 ,0.62 ,
262.00 ,141.70 ,305.00 ,135.00 ,29.50 ,63.26 ,48.94 ,0.29 ,
263.00 ,105.48 ,305.00 ,135.00 ,29.56 ,55.82 ,20.10 ,0.22 ,
264.00 ,114.94 ,304.00 ,134.00 ,29.50 ,63.18 ,22.26 ,0.55 ,
265.00 ,153.18 ,304.00 ,134.00 ,29.56 ,60.99 ,62.63 ,0.47 ,
266.00 ,106.21 ,306.00 ,135.00 ,29.54 ,55.87 ,20.79 ,0.30 ,
267.00 ,116.45 ,306.00 ,135.00 ,29.58 ,64.37 ,22.49 ,0.31 ,
268.00 ,120.11 ,305.00 ,134.00 ,29.49 ,63.98 ,26.64 ,0.08 ,
269.00 ,158.39 ,305.00 ,134.00 ,28.76 ,66.22 ,63.41 ,0.96 ,
270.00 ,126.10 ,307.00 ,130.00 ,28.31 ,44.92 ,52.86 ,0.69 ,
271.00 ,107.96 ,306.00 ,130.00 ,28.31 ,60.92 ,18.73 ,0.29 ,
272.00 ,99.11 ,306.00 ,130.00 ,28.69 ,52.10 ,18.32 ,0.28 ,
273.00 ,115.33 ,309.00 ,130.00 ,28.68 ,61.28 ,25.37 ,0.36 ,
274.00 ,123.04 ,309.00 ,130.00 ,28.34 ,64.00 ,30.70 ,0.54 ,
275.00 ,156.87 ,306.00 ,129.00 ,28.71 ,60.56 ,67.60 ,0.94 ,
