Iterations,Avg_StackingTime, ManpowerofForklifts, ManpowerofUnpacking, ManpowerofPacking, Forklifts, Avg_StackingTime_At_Gate,Avg_StackingTime_At_Inbound, Avg_StackingTime_At_Outbound,, Manpower
5568,126.06,87,38,47,45,33.83,64.87,27.35,0.35,172
5569,126.66,87,37,46,45,33.72,70.62,22.32,0.21,170
5570,119.25,87,37,46,45,33.72,63.33,22.2,0.26,170
5571,135.23,87,38,47,45,33.6,74.38,27.24,0.27,172
5572,109.3,87,38,47,45,33.68,50.71,24.91,0.32,172
5573,125.05,86,38,47,45,34.02,65.35,25.68,0.16,171
5574,118.6,86,38,47,45,34,61.3,23.3,0.41,171
5575,162.94,86,37,47,45,34.06,69.38,59.5,0.2,170
5576,147.9,86,37,47,44,34.16,62.02,51.72,0.61,170
5577,127.11,86,37,47,45,34.18,68.45,24.48,0.45,170
5578,121.13,86,37,47,45,34.22,66.61,20.3,0.2,170
5579,133.16,85,37,47,45,34.18,71.13,27.85,0.31,169
5580,111.41,86,37,47,45,34.1,56.1,21.2,0.34,170
5581,118.05,86,37,47,45,34.15,62.25,21.65,0.19,170
5582,123.25,86,37,47,45,34.15,67.76,21.34,0.38,170
5583,131.38,87,37,47,44,34.13,72.27,24.98,0.41,171
5584,127.97,87,37,47,45,34.29,65.95,27.73,0.35,171
5585,126.32,86,37,47,45,34.38,61.01,30.93,0.31,170
5586,125.44,85,37,47,45,34.37,66.85,24.22,0.29,169
5587,122.24,85,37,47,45,34.41,63.25,24.58,0.32,169
5588,124.59,86,37,47,45,34.3,67.93,22.36,0.35,170
5589,116.53,88,37,47,45,33.77,61.52,21.23,0.46,172
5590,111.32,87,37,47,44,33.77,52.59,24.96,0.36,171
5591,118.37,86,37,47,44,33.82,62.27,22.28,0.24,170
5592,120.27,84,37,47,44,33.82,62.94,23.51,0.35,168
5593,160.27,85,37,47,45,33.83,75.31,51.13,0.37,169
5594,116.67,86,37,47,45,33.97,56.21,26.49,0.59,170
5595,122.74,86,38,47,44,33.85,66.09,22.8,0.41,171
5596,124.12,86,37,47,45,33.78,62.36,27.98,0.36,170
5597,161.95,86,38,47,45,33.93,75.28,52.73,0.16,171
5598,117.68,86,38,46,44,33.74,61.49,22.45,0.38,170
5599,116.13,86,37,47,44,33.72,57.18,25.22,0.24,170
5600,122.92,86,37,47,45,33.82,63.5,25.6,0.45,170
5601,112.48,86,37,47,45,33.78,56.29,22.42,0.27,170
5602,168.02,86,38,47,44,32.97,72.49,62.57,0.36,171
5603,136.48,86,38,47,45,33.53,79.98,22.97,0.48,171
5604,128.05,86,37,47,45,32.98,72.91,22.16,0.38,170
5605,116.54,86,38,47,45,32.95,62.27,21.32,0.61,171
5606,124.16,86,38,47,45,33,68.18,22.98,0.31,171
5607,131.01,87,37,47,45,33.04,75.64,22.33,0.23,171
5608,127.55,86,37,47,45,33.14,61.06,33.35,0.27,170
5609,114.07,86,37,47,45,33.11,60.12,20.84,0.3,170
5610,126.09,87,37,48,45,32.98,67.7,25.4,0.27,172
5611,121.14,87,37,47,45,33.03,62.39,25.72,0.36,171
5612,121.71,87,37,47,45,33.01,65.29,23.41,0.23,171
5613,123.71,88,37,47,45,33.01,62.76,27.94,0.27,172
5614,124.15,87,37,48,45,33.01,65.42,25.72,0.35,172
5615,131.7,88,37,47,45,32.84,77.28,21.59,0.34,172
5616,130.47,88,37,47,45,32.85,74.88,22.74,0.31,172
5617,123.04,86,37,47,45,32.91,67.66,22.46,0.4,170
5618,130.18,86,37,47,45,32.86,73.36,23.96,0.48,170
5619,120.6,86,37,47,45,32.88,63.66,24.06,0.44,170
5620,124.09,86,37,47,45,32.91,66.81,24.38,0.16,170
5621,109.35,86,37,47,45,32.93,54.97,21.45,0.17,170
5622,113.32,86,37,47,45,32.49,57.76,23.07,0.11,170
5623,161.04,86,37,47,45,32.47,73.86,54.71,0.23,170
5624,124.9,85,37,47,45,32.43,66.64,25.83,0.26,169
5625,116.27,85,37,47,45,32.5,61.55,22.23,0.28,169
5626,132.12,85,37,47,45,32.44,67.84,31.85,0.59,169
